COUNTY,CNTYNAME,DISTRICT,DISTNAME,CHARTER_STATUS,CRISIS_IND,studentnumber,tipcat
1,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
1,ANDERSON COUNTY,1906,NECHES ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
1,ANDERSON COUNTY,1907,PALESTINE ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
1,ANDERSON COUNTY,1909,SLOCUM ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
2,ANDREWS COUNTY,2901,ANDREWS ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
3,ANGELINA COUNTY,3902,HUDSON ISD,TRADITIONAL ISD/CSD,5A,10,fully displaced
3,ANGELINA COUNTY,3903,LUFKIN ISD,TRADITIONAL ISD/CSD,5A,19,fully displaced
3,ANGELINA COUNTY,3904,HUNTINGTON ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
3,ANGELINA COUNTY,3905,DIBOLL ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
3,ANGELINA COUNTY,3906,ZAVALLA ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
3,ANGELINA COUNTY,3907,CENTRAL ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
4,ARANSAS COUNTY,4901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,5A,1887,fully displaced
7,ATASCOSA COUNTY,7902,JOURDANTON ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
7,ATASCOSA COUNTY,7904,LYTLE ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
7,ATASCOSA COUNTY,7905,PLEASANTON ISD,TRADITIONAL ISD/CSD,5A,18,fully displaced
7,ATASCOSA COUNTY,7906,POTEET ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
8,AUSTIN COUNTY,8902,SEALY ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
8,AUSTIN COUNTY,8903,BRAZOS ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
9,BAILEY COUNTY,9901,MULESHOE ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
10,BANDERA COUNTY,10901,MEDINA ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
10,BANDERA COUNTY,10902,BANDERA ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
11,BASTROP COUNTY,11901,BASTROP ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
11,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
11,BASTROP COUNTY,11904,SMITHVILLE ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
11,BASTROP COUNTY,11905,MCDADE ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
13,BEE COUNTY,13801,ST MARY'S ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,5A,-999,fully displaced
13,BEE COUNTY,13901,BEEVILLE ISD,TRADITIONAL ISD/CSD,5A,32,fully displaced
13,BEE COUNTY,13902,PAWNEE ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
13,BEE COUNTY,13903,PETTUS ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
13,BEE COUNTY,13905,SKIDMORE-TYNAN ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
14,BELL COUNTY,14801,RICHARD MILBURN ALTER HIGH SCHOOL,OPEN ENROLLMENT CHARTER,5A,-999,fully displaced
14,BELL COUNTY,14903,BELTON ISD,TRADITIONAL ISD/CSD,5A,13,fully displaced
14,BELL COUNTY,14906,KILLEEN ISD,TRADITIONAL ISD/CSD,5A,29,fully displaced
14,BELL COUNTY,14907,ROGERS ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
14,BELL COUNTY,14908,SALADO ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
14,BELL COUNTY,14909,TEMPLE ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
15,BEXAR COUNTY,15822,JUBILEE ACADEMIES,OPEN ENROLLMENT CHARTER,5A,-999,fully displaced
15,BEXAR COUNTY,15834,BASIS TEXAS,OPEN ENROLLMENT CHARTER,5A,-999,fully displaced
15,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,5A,10,fully displaced
15,BEXAR COUNTY,15904,HARLANDALE ISD,TRADITIONAL ISD/CSD,5A,12,fully displaced
15,BEXAR COUNTY,15905,EDGEWOOD ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
15,BEXAR COUNTY,15907,SAN ANTONIO ISD,TRADITIONAL ISD/CSD,5A,53,fully displaced
15,BEXAR COUNTY,15909,SOMERSET ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
15,BEXAR COUNTY,15910,NORTH EAST ISD,TRADITIONAL ISD/CSD,5A,71,fully displaced
15,BEXAR COUNTY,15911,EAST CENTRAL ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
15,BEXAR COUNTY,15912,SOUTHWEST ISD,TRADITIONAL ISD/CSD,5A,15,fully displaced
15,BEXAR COUNTY,15915,NORTHSIDE ISD,TRADITIONAL ISD/CSD,5A,81,fully displaced
15,BEXAR COUNTY,15916,JUDSON ISD,TRADITIONAL ISD/CSD,5A,26,fully displaced
15,BEXAR COUNTY,15917,SOUTHSIDE ISD,TRADITIONAL ISD/CSD,5A,10,fully displaced
18,BOSQUE COUNTY,18901,CLIFTON ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
18,BOSQUE COUNTY,18902,MERIDIAN ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
18,BOSQUE COUNTY,18907,KOPPERL ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
19,BOWIE COUNTY,19903,MAUD ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
19,BOWIE COUNTY,19907,TEXARKANA ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
19,BOWIE COUNTY,19909,SIMMS ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
20,BRAZORIA COUNTY,20901,ALVIN ISD,TRADITIONAL ISD/CSD,5A,97,fully displaced
20,BRAZORIA COUNTY,20902,ANGLETON ISD,TRADITIONAL ISD/CSD,5A,40,fully displaced
20,BRAZORIA COUNTY,20905,BRAZOSPORT ISD,TRADITIONAL ISD/CSD,5A,57,fully displaced
20,BRAZORIA COUNTY,20906,SWEENY ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
20,BRAZORIA COUNTY,20907,COLUMBIA-BRAZORIA ISD,TRADITIONAL ISD/CSD,5A,15,fully displaced
20,BRAZORIA COUNTY,20908,PEARLAND ISD,TRADITIONAL ISD/CSD,5A,77,fully displaced
20,BRAZORIA COUNTY,20910,DAMON ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
21,BRAZOS COUNTY,21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,OPEN ENROLLMENT CHARTER,5A,-999,fully displaced
21,BRAZOS COUNTY,21901,COLLEGE STATION ISD,TRADITIONAL ISD/CSD,5A,31,fully displaced
21,BRAZOS COUNTY,21902,BRYAN ISD,TRADITIONAL ISD/CSD,5A,48,fully displaced
24,BROOKS COUNTY,24901,BROOKS COUNTY ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
25,BROWN COUNTY,25901,BANGS ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
25,BROWN COUNTY,25902,BROWNWOOD ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
25,BROWN COUNTY,25905,MAY ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
26,BURLESON COUNTY,26901,CALDWELL ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
27,BURNET COUNTY,27904,MARBLE FALLS ISD,TRADITIONAL ISD/CSD,5A,10,fully displaced
28,CALDWELL COUNTY,28902,LOCKHART ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
29,CALHOUN COUNTY,29901,CALHOUN COUNTY ISD,TRADITIONAL ISD/CSD,5A,23,fully displaced
31,CAMERON COUNTY,31901,BROWNSVILLE ISD,TRADITIONAL ISD/CSD,5A,79,fully displaced
31,CAMERON COUNTY,31903,HARLINGEN CISD,TRADITIONAL ISD/CSD,5A,24,fully displaced
31,CAMERON COUNTY,31905,LA FERIA ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
31,CAMERON COUNTY,31906,LOS FRESNOS CISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
31,CAMERON COUNTY,31909,POINT ISABEL ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
31,CAMERON COUNTY,31911,RIO HONDO ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
31,CAMERON COUNTY,31912,SAN BENITO CISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
31,CAMERON COUNTY,31916,SOUTH TEXAS ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
32,CAMP COUNTY,32902,PITTSBURG ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
34,CASS COUNTY,34901,ATLANTA ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
34,CASS COUNTY,34903,HUGHES SPRINGS ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
34,CASS COUNTY,34905,LINDEN-KILDARE CISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
36,CHAMBERS COUNTY,36901,ANAHUAC ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
36,CHAMBERS COUNTY,36902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,5A,11,fully displaced
36,CHAMBERS COUNTY,36903,EAST CHAMBERS ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
37,CHEROKEE COUNTY,37901,ALTO ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
37,CHEROKEE COUNTY,37904,JACKSONVILLE ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
37,CHEROKEE COUNTY,37907,RUSK ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
42,COLEMAN COUNTY,42901,COLEMAN ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
43,COLLIN COUNTY,43901,ALLEN ISD,TRADITIONAL ISD/CSD,5A,11,fully displaced
43,COLLIN COUNTY,43904,FARMERSVILLE ISD,TRADITIONAL ISD/CSD,5A,-999,fully displaced
