COUNTY,CNTYNAME,DISTRICT,DISTNAME,CHARTER_STATUS,CRISIS_IND,studentnumber,tipcat
4,ARANSAS COUNTY,4901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,5C,646,made homeless
8,AUSTIN COUNTY,8903,BRAZOS ISD,TRADITIONAL ISD/CSD,5C,12,made homeless
11,BASTROP COUNTY,11901,BASTROP ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
11,BASTROP COUNTY,11904,SMITHVILLE ISD,TRADITIONAL ISD/CSD,5C,18,made homeless
15,BEXAR COUNTY,15916,JUDSON ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
20,BRAZORIA COUNTY,20901,ALVIN ISD,TRADITIONAL ISD/CSD,5C,411,made homeless
20,BRAZORIA COUNTY,20902,ANGLETON ISD,TRADITIONAL ISD/CSD,5C,447,made homeless
20,BRAZORIA COUNTY,20904,DANBURY ISD,TRADITIONAL ISD/CSD,5C,39,made homeless
20,BRAZORIA COUNTY,20905,BRAZOSPORT ISD,TRADITIONAL ISD/CSD,5C,276,made homeless
20,BRAZORIA COUNTY,20906,SWEENY ISD,TRADITIONAL ISD/CSD,5C,112,made homeless
20,BRAZORIA COUNTY,20907,COLUMBIA-BRAZORIA ISD,TRADITIONAL ISD/CSD,5C,146,made homeless
20,BRAZORIA COUNTY,20908,PEARLAND ISD,TRADITIONAL ISD/CSD,5C,296,made homeless
20,BRAZORIA COUNTY,20910,DAMON ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
21,BRAZOS COUNTY,21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,OPEN ENROLLMENT CHARTER,5C,15,made homeless
21,BRAZOS COUNTY,21805,ARROW ACADEMY,OPEN ENROLLMENT CHARTER,5C,-999,made homeless
29,CALHOUN COUNTY,29901,CALHOUN COUNTY ISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
36,CHAMBERS COUNTY,36901,ANAHUAC ISD,TRADITIONAL ISD/CSD,5C,88,made homeless
36,CHAMBERS COUNTY,36902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,5C,194,made homeless
36,CHAMBERS COUNTY,36903,EAST CHAMBERS ISD,TRADITIONAL ISD/CSD,5C,125,made homeless
45,COLORADO COUNTY,45902,COLUMBUS ISD,TRADITIONAL ISD/CSD,5C,54,made homeless
57,DALLAS COUNTY,57834,EVOLUTION ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,5C,20,made homeless
57,DALLAS COUNTY,57848,INTERNATIONAL LEADERSHIP OF TEXAS,OPEN ENROLLMENT CHARTER,5C,115,made homeless
62,DEWITT COUNTY,62901,CUERO ISD,TRADITIONAL ISD/CSD,5C,19,made homeless
72,ERATH COUNTY,72801,PREMIER HIGH SCHOOLS,OPEN ENROLLMENT CHARTER,5C,26,made homeless
75,FAYETTE COUNTY,75902,LA GRANGE ISD,TRADITIONAL ISD/CSD,5C,216,made homeless
79,FORT BEND COUNTY,79901,LAMAR CISD,TRADITIONAL ISD/CSD,5C,277,made homeless
79,FORT BEND COUNTY,79906,NEEDVILLE ISD,TRADITIONAL ISD/CSD,5C,12,made homeless
79,FORT BEND COUNTY,79907,FORT BEND ISD,TRADITIONAL ISD/CSD,5C,658,made homeless
79,FORT BEND COUNTY,79910,STAFFORD MSD,TRADITIONAL ISD/CSD,5C,10,made homeless
84,GALVESTON COUNTY,84802,ODYSSEY ACADEMY INC,OPEN ENROLLMENT CHARTER,5C,47,made homeless
84,GALVESTON COUNTY,84901,DICKINSON ISD,TRADITIONAL ISD/CSD,5C,1062,made homeless
84,GALVESTON COUNTY,84902,GALVESTON ISD,TRADITIONAL ISD/CSD,5C,197,made homeless
84,GALVESTON COUNTY,84903,HIGH ISLAND ISD,TRADITIONAL ISD/CSD,5C,113,made homeless
84,GALVESTON COUNTY,84906,TEXAS CITY ISD,TRADITIONAL ISD/CSD,5C,80,made homeless
84,GALVESTON COUNTY,84908,HITCHCOCK ISD,TRADITIONAL ISD/CSD,5C,70,made homeless
84,GALVESTON COUNTY,84909,SANTA FE ISD,TRADITIONAL ISD/CSD,5C,492,made homeless
84,GALVESTON COUNTY,84910,CLEAR CREEK ISD,TRADITIONAL ISD/CSD,5C,1962,made homeless
84,GALVESTON COUNTY,84911,FRIENDSWOOD ISD,TRADITIONAL ISD/CSD,5C,424,made homeless
88,GOLIAD COUNTY,88902,GOLIAD ISD,TRADITIONAL ISD/CSD,5C,17,made homeless
100,HARDIN COUNTY,100903,KOUNTZE ISD,TRADITIONAL ISD/CSD,5C,50,made homeless
100,HARDIN COUNTY,100904,SILSBEE ISD,TRADITIONAL ISD/CSD,5C,58,made homeless
100,HARDIN COUNTY,100905,HARDIN-JEFFERSON ISD,TRADITIONAL ISD/CSD,5C,343,made homeless
100,HARDIN COUNTY,100907,LUMBERTON ISD,TRADITIONAL ISD/CSD,5C,164,made homeless
100,HARDIN COUNTY,100908,WEST HARDIN COUNTY CISD,TRADITIONAL ISD/CSD,5C,-999,made homeless
101,HARRIS COUNTY,101802,SER-NINOS CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,5C,29,made homeless
101,HARRIS COUNTY,101803,ARISTOI CLASSICAL ACADEMY,OPEN ENROLLMENT CHARTER,5C,38,made homeless
101,HARRIS COUNTY,101804,GEORGE I SANCHEZ CHARTER,OPEN ENROLLMENT CHARTER,5C,22,made homeless
101,HARRIS COUNTY,101806,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,OPEN ENROLLMENT CHARTER,5C,-999,made homeless
101,HARRIS COUNTY,101807,UNIVERSITY OF HOUSTON CHARTER SCHO,OPEN ENROLLMENT CHARTER,5C,-999,made homeless
101,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING IN,OPEN ENROLLMENT CHARTER,5C,-999,made homeless
101,HARRIS COUNTY,101813,KIPP INC CHARTER,OPEN ENROLLMENT CHARTER,5C,208,made homeless
101,HARRIS COUNTY,101814,THE VARNETT PUBLIC SCHOOL,OPEN ENROLLMENT CHARTER,5C,-999,made homeless
101,HARRIS COUNTY,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,OPEN ENROLLMENT CHARTER,5C,-999,made homeless
101,HARRIS COUNTY,101828,HOUSTON GATEWAY ACADEMY INC,OPEN ENROLLMENT CHARTER,5C,-999,made homeless
101,HARRIS COUNTY,101838,SOUTHWEST SCHOOL,OPEN ENROLLMENT CHARTER,5C,141,made homeless
101,HARRIS COUNTY,101840,TWO DIMENSIONS PREPARATORY ACADEMY,OPEN ENROLLMENT CHARTER,5C,20,made homeless
101,HARRIS COUNTY,101845,YES PREP PUBLIC SCHOOLS INC,OPEN ENROLLMENT CHARTER,5C,335,made homeless
101,HARRIS COUNTY,101853,PROMISE COMMUNITY SCHOOL,OPEN ENROLLMENT CHARTER,5C,34,made homeless
101,HARRIS COUNTY,101861,THE RHODES SCHOOL,OPEN ENROLLMENT CHARTER,5C,141,made homeless
