COUNTY,CNTYNAME,DISTRICT,DISTNAME,CHARTER_STATUS,CRISIS_IND,CRISISX_L,STUDENTS
1,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
1,ANDERSON COUNTY,1906,NECHES ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
1,ANDERSON COUNTY,1907,PALESTINE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
1,ANDERSON COUNTY,1909,SLOCUM ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
2,ANDREWS COUNTY,2901,ANDREWS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
3,ANGELINA COUNTY,3902,HUDSON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",10
3,ANGELINA COUNTY,3903,LUFKIN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",19
3,ANGELINA COUNTY,3904,HUNTINGTON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
3,ANGELINA COUNTY,3905,DIBOLL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
3,ANGELINA COUNTY,3906,ZAVALLA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
3,ANGELINA COUNTY,3907,CENTRAL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
4,ARANSAS COUNTY,4901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",1887
4,ARANSAS COUNTY,4901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",646
7,ATASCOSA COUNTY,7902,JOURDANTON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
